Altium Designer Pick and Place Locations
C:\Users\aidan\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for Aidan_Macro_Pad.txt

========================================================================================================================
File Design Information:

Date:       20/03/25
Time:       23:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment      Layer       Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                               
SW2        MX1A-11NW    TopLayer    CHRY-MX1A-11NW_V        32.0000      94.5400      0        "Keypad Switch, 1 Switches, SPST, Momentary, 0.01A, 12VDC, 0.78N, Solder Terminal, Through Hole-straight" 
S2         482020514001 TopLayer    4820xx514001            72.0000      112.0000     90       "Rotary Position Encoder"                                                                                 
S1         482020514001 TopLayer    4820xx514001            52.0000      112.0000     90       "Rotary Position Encoder"                                                                                 
SW20       MX1A-11NW    TopLayer    CHRY-MX1A-11NW_V        72.0000      14.5400      0        "Keypad Switch, 1 Switches, SPST, Momentary, 0.01A, 12VDC, 0.78N, Solder Terminal, Through Hole-straight" 
SW19       MX1A-11NW    TopLayer    CHRY-MX1A-11NW_V        52.0000      14.5400      0        "Keypad Switch, 1 Switches, SPST, Momentary, 0.01A, 12VDC, 0.78N, Solder Terminal, Through Hole-straight" 
SW18       MX1A-11NW    TopLayer    CHRY-MX1A-11NW_V        32.0000      14.5400      0        "Keypad Switch, 1 Switches, SPST, Momentary, 0.01A, 12VDC, 0.78N, Solder Terminal, Through Hole-straight" 
SW17       MX1A-11NW    TopLayer    CHRY-MX1A-11NW_V        12.0000      14.5400      0        "Keypad Switch, 1 Switches, SPST, Momentary, 0.01A, 12VDC, 0.78N, Solder Terminal, Through Hole-straight" 
SW16       MX1A-11NW    TopLayer    CHRY-MX1A-11NW_V        72.0000      34.5400      0        "Keypad Switch, 1 Switches, SPST, Momentary, 0.01A, 12VDC, 0.78N, Solder Terminal, Through Hole-straight" 
SW15       MX1A-11NW    TopLayer    CHRY-MX1A-11NW_V        52.0000      34.5400      0        "Keypad Switch, 1 Switches, SPST, Momentary, 0.01A, 12VDC, 0.78N, Solder Terminal, Through Hole-straight" 
SW14       MX1A-11NW    TopLayer    CHRY-MX1A-11NW_V        32.0000      34.5400      0        "Keypad Switch, 1 Switches, SPST, Momentary, 0.01A, 12VDC, 0.78N, Solder Terminal, Through Hole-straight" 
SW13       MX1A-11NW    TopLayer    CHRY-MX1A-11NW_V        12.0000      34.5400      0        "Keypad Switch, 1 Switches, SPST, Momentary, 0.01A, 12VDC, 0.78N, Solder Terminal, Through Hole-straight" 
